time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance
1446000,723,39.13471227,119,12120,719.0,0.0001,0.16643334007821978,0.222,0.5479184985160828,-39.74295183817546,0.019782264,10830,-0.08990726619958878,-0.042261027756847515,0.08249663387347633,0.9318069592118263
1448000,724,39.12317119,119,12137,718.73,0.0001,0.11426667170211052,0.222,0.5462790131568909,-39.61745570500692,0.018166225,10845,-0.10999388992786407,-0.032017769501101155,0.12827673384454102,0.8749944120645523
1450000,725,39.26753051,119,12154,720.76,0.0001,0.1554333404987119,0.222,0.5451545119285583,-40.23369080225627,0.02173946,10860,-0.09346308559179306,-0.03901939883608338,0.10935342014223957,0.912210687994957
1452000,726,39.665326130000004,119,12170,728.57,0.0001,0.12086667162366212,0.222,0.5436215400695801,-40.49866002400716,0.017795706,10875,-0.066415935754776,-0.03666027395638132,0.1274316838554417,0.9330751523375511
1454000,727,39.693670819999994,119,12187,729.63,0.0001,0.12120000513192887,0.222,0.5434182286262512,-40.405924002329506,0.019551227,10890,-0.07292250543832779,-0.03280014895938684,0.0967430973192677,0.9311341121792793
1456000,728,39.9470284,119,12204,732.9,0.0001,0.1340333393503291,0.222,0.5438011884689331,-40.06696999867757,0.020538785,10905,-0.10259212553501129,-0.03783085049062259,0.08404973013675772,0.8633466958999634
1458000,729,39.97419342,119,12220,739.6,0.0001,0.13616667243962485,0.222,0.5430598258972168,-38.94872973759969,0.018719632,10920,-0.08731438219547272,-0.036439858496836425,0.09531481836844856,0.8552354276180267
1460000,730,40.05023074,119,12238,741.46,0.0001,0.18666667495466147,0.222,0.5420957207679749,-40.73792419433594,0.03041012,10935,-0.08990388363599777,-0.0472212135406443,0.10162886935286224,0.8992925807833672
1462000,731,40.58701391,119,12254,754.12,0.0001,0.2064333419354322,0.222,0.541132390499115,-40.39356934229533,0.033976972,10950,-0.1071275845170021,-0.048871961193069954,0.08082936192319418,0.922061875462532
1464000,732,40.72493413,119,12271,757.65,0.0001,0.09980000406115626,0.222,0.5409156680107117,-41.22478094100952,0.020078607,10965,-0.09352037310600281,-0.03117352612316419,0.18745433260143424,0.8160306662321091
1466000,733,41.02063728000001,119,12288,767.24,0.0001,0.17483333996109043,0.222,0.5397233963012695,-40.42127113342285,0.026523057,10980,-0.1178678497672081,-0.04491906036487687,0.019076976742750655,0.9816254246979952
1468000,734,41.343820210000004,119,12305,774.99,0.0001,0.14670000599386793,0.222,0.538040816783905,-40.653708616892494,0.023912784,10995,-0.1101275309920311,-0.03944312496730816,0.12724811496057858,0.8221776932477951
1470000,735,41.56346855000001,119,12321,778.28,0.0001,0.1611666738909359,0.222,0.5366372466087341,-40.31007486979167,0.022898385,11010,-0.09595771133899689,-0.04372654202814251,0.08705706312709177,0.934155635535717
1472000,736,41.569450530000005,119,12339,778.53,0.0001,0.13623333965661005,0.222,0.5351070761680603,-39.74003257751465,0.019444432,11025,-0.10017713904380798,-0.037555087633326156,0.08936830035721262,0.8688764870166779
